LATITUDE,LONGITUDE,CRASH DATE,CRASH TIME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,BOROUGH,SEVERITY
40.82707,-73.87075,03/26/2022,1:58,0,0,Turning Improperly,,,1670      WATSON AVENUE,BRONX,0
40.60548,-73.93922,03/26/2022,19:56,0,0,Unspecified,GERRITSEN AVENUE,AVENUE S,,,0
40.692593,-73.91551,03/26/2022,0:30,0,0,Unspecified,MADISON STREET,CENTRAL AVENUE,,BROOKLYN,0
40.680664,-73.902626,03/26/2022,20:05,0,0,Driver Inattention/Distraction,BUSHWICK AVENUE,CONWAY STREET,,BROOKLYN,0
40.645718,-73.95002,03/26/2022,17:54,4,0,Passing Too Closely,,,168       EAST 29 STREET,BROOKLYN,4
40.68327,-73.95016,03/25/2022,17:55,0,0,Traffic Control Disregarded,NOSTRAND AVENUE,,,,0
40.84036,-73.91807,12/12/2021,9:09,0,1,Unspecified,JEROME AVENUE,,,,5
40.577652,-73.96344,03/26/2022,16:35,0,0,Driver Inattention/Distraction,,,3071      BRIGHTON 4 STREET,BROOKLYN,0
40.730145,-73.99781,03/26/2022,19:50,1,0,Passenger Distraction,,,60        WASHINGTON SQUARE SOUTH,MANHATTAN,1
40.67478,-73.806206,03/26/2022,13:19,0,0,Failure to Yield Right-of-Way,ROCKAWAY BOULEVARD,132 STREET,,QUEENS,0
40.624622,-73.97598,03/25/2022,8:45,2,0,Unspecified,,,1175      MC DONALD AVENUE,BROOKLYN,2
40.67271,-73.97089,03/26/2022,10:10,0,0,Passing or Lane Usage Improper,UNION STREET,PLAZA STREET WEST,,BROOKLYN,0
40.7314,-73.926094,03/26/2022,11:45,1,0,Reaction to Uninvolved Vehicle,BROOKLYN QUEENS EXPRESSWAY,,,,1
40.632786,-74.13712,03/25/2022,14:35,1,0,Failure to Yield Right-of-Way,PORT RICHMOND AVENUE,HATFIELD PLACE,,,1
40.596733,-74.07045,03/26/2022,14:30,0,0,Backing Unsafely,MCCLEAN AVENUE,SAND LANE,,STATEN ISLAND,0
40.617645,-73.92092,03/26/2022,19:00,0,0,Backing Unsafely,,,1549      EAST 56 STREET,BROOKLYN,0
40.68651,-73.98378,03/26/2022,16:40,2,0,Passing or Lane Usage Improper,,,436       ATLANTIC AVENUE,BROOKLYN,2
40.69831,-73.9498,03/24/2022,18:05,0,0,Driver Inattention/Distraction,MARCY AVENUE,ELLERY STREET,,BROOKLYN,0
40.692455,-73.76814,03/26/2022,3:35,1,0,Reaction to Uninvolved Vehicle,179 STREET,,,,1
40.778805,-73.974075,03/20/2022,10:34,1,0,Backing Unsafely,WEST 76 STREET,CENTRAL PARK WEST,,MANHATTAN,1
40.747894,-73.989174,03/26/2022,14:54,0,0,Passing or Lane Usage Improper,AVENUE OF THE AMERICAS,WEST 31 STREET,,MANHATTAN,0
40.83578,-73.871445,03/25/2022,6:35,0,0,Following Too Closely,,,1700      CROSS BRONX EXPRESSWAY,BRONX,0
40.61763,-74.133575,03/25/2022,14:00,0,0,Driver Inattention/Distraction,LEONARD AVENUE,FISKE AVENUE,,,0
40.731407,-73.99698,03/21/2022,19:13,1,0,Driver Inattention/Distraction,WASHINGTON SQUARE NORTH,,,,1
40.60784,-73.961975,03/26/2022,5:02,0,0,Fell Asleep,CONEY ISLAND AVENUE,QUENTIN ROAD,,BROOKLYN,0
40.752563,-73.74328,03/25/2022,9:45,0,0,Unspecified,CROSS ISLAND PARKWAY,,,,0
40.67848,-73.98232,03/26/2022,22:54,0,0,Failure to Yield Right-of-Way,,,177       4 AVENUE,BROOKLYN,0
40.629475,-74.004166,03/26/2022,21:00,0,0,Driver Inattention/Distraction,,,1115      63 STREET,BROOKLYN,0
40.668797,-73.93113,03/26/2022,17:29,1,0,Driver Inattention/Distraction,EASTERN PARKWAY,UTICA AVENUE,,BROOKLYN,1
